"Source","Target","Weight"
"NIGHTMARE/EDVARD HAB","GHOST RIDER III/DAN ",7
"MOJO","BEAST/HENRY &HANK& P",7
"DOMINO III/BEATRICE/","BEAST/HENRY &HANK& P",7
"WIPEOUT","BEAST/HENRY &HANK& P",7
"BLACK CAT/FELICIA HA","PUNISHER II/FRANK CA",7
"MOJO","JUBILEE/JUBILATION L",7
"MR. SINISTER/NATHAN ","JUBILEE/JUBILATION L",7
"MIMIC/CALVIN RANKIN","ANGEL/WARREN KENNETH",7
"WIPEOUT","STORM/ORORO MUNROE S",7
"WIPEOUT","MARVEL GIRL/JEAN GRE",7
"MAJOR DOMO","PSYLOCKE/ELISABETH B",7
"CREED, GRAYDON","PSYLOCKE/ELISABETH B",7
"MOREAU, DAVID","PSYLOCKE/ELISABETH B",7
"PSI-LORD/FRANKLIN BE","SHE-HULK/JENNIFER WA",7
"VIBRAXAS/N'KANO","SHE-HULK/JENNIFER WA",7
"DEVLOR","SHE-HULK/JENNIFER WA",7
"MAJOR DOMO","WOLVERINE/LOGAN ",7
"BILLUPS, AGENT","CAPTAIN AMERICA",7
"JACK FROST/","CAPTAIN AMERICA",7
"MACHETE/FERDINAND LO","CAPTAIN AMERICA",7
"LIGHTMASTER/EDWARD L","SPIDER-MAN/PETER PAR",7
"FROG-MAN II/EUGENE P","SPIDER-MAN/PETER PAR",7
"MAXWELL, MORRIS","SPIDER-MAN/PETER PAR",7
"HINDSIGHT LAD/CARLTO","SPEEDBALL/ROBBIE BAL",7
"PRENTISS, BETTY DEAN","NAMORITA/NITA PRENTI",7
"IRON MAN/TONY STARK ","THUNDERBALL/DR. ELIO",7
"VIBRAXAS/N'KANO","SUB-MARINER/NAMOR MA",7
"MAJOR DOMO","ROGUE /",7
"MOJO","ROGUE /",7
"IRON MAN/TONY STARK ","MISTER HYDE/CALVIN Z",6
"IRON MAN/TONY STARK ","DR. OCTOPUS/OTTO OCT",6
"BANSHEE/SEAN CASSIDY","HUMAN TORCH/JOHNNY S",6
"MAELSTROM/MALCOLM ST","MOONDRAGON/HEATHER D",6
"EON","MOONDRAGON/HEATHER D",6
"LIZARD/DR. CURTIS CO","GRANT, GLORIA GLORY",6
"MUGGINS, MAMIE","GRANT, GLORIA GLORY",6
"STACY, CAPT. GEORGE","THOMPSON, EUGENE FLA",6
"TOMBSTONE/LONNIE THO","THOMPSON, EUGENE FLA",6
"MIMIC/CALVIN RANKIN","ICEMAN/ROBERT BOBBY ",6
"WORTHINGTON, KATHRYN","ICEMAN/ROBERT BOBBY ",6
"ROBERTS, TED","ICEMAN/ROBERT BOBBY ",6
"TRAVELLER, DR. JUDAS","WATSON, ANNA",6
"KAINE","WATSON, ANNA",6
"KINGSLEY, DANIEL","WATSON-PARKER, MARY ",6
"IRON MAN/TONY STARK ","KINGPIN/WILSON FISK",6
"KINGSLEY, DANIEL","LEEDS, BETTY BRANT",6
"TOMBSTONE/LONNIE THO","LEEDS, BETTY BRANT",6
"IRON MAN/TONY STARK ","LEEDS, BETTY BRANT",6
"SPIDER-MAN CLONE/BEN","FORTUNATO, GIACOMO J",6
"GREEN GOBLIN III/BAR","ROBERTSON, JOE",6
"VENOM/EDDIE BROCK","STACY, ARTHUR",6
"SHA SHAN","PARKER, MAY",6
"CAPUTO, DR. JULIA","PARKER, MAY",6
"STACY, ARTHUR","VENOM/EDDIE BROCK",6
"IRON MAN/TONY STARK ","RHINO",6
"PSI-LORD/FRANKLIN BE","GORGON [INHUMAN]",6
"IRON MAN/TONY STARK ","DEVIL-SLAYER/ERIC SI",6
"D'SPAYRE","DR. STRANGE/STEPHEN ",6
"INTERLOPER","DR. STRANGE/STEPHEN ",6
"MANSLAUGHTER","DR. STRANGE/STEPHEN ",6
"MR. SINISTER/NATHAN ","COOPER, DR. VALERIE",6
"IRON MAN/TONY STARK ","COOPER, DR. VALERIE",6
"RICHARDS, NATHANIEL","THOR/DR. DONALD BLAK",6
"TOKKOTS","THOR/DR. DONALD BLAK",6
"MAJOR DOMO","CYCLOPS/SCOTT SUMMER",6
"MOJO","CYCLOPS/SCOTT SUMMER",6
"WORTHINGTON, KATHRYN","CYCLOPS/SCOTT SUMMER",6
"WIPEOUT","CYCLOPS/SCOTT SUMMER",6
"MOREAU, DAVID","CYCLOPS/SCOTT SUMMER",6
"ROBERTS, TED","CYCLOPS/SCOTT SUMMER",6
"MAJOR DOMO","BEAST/HENRY &HANK& P",6
"WORTHINGTON, KATHRYN","BEAST/HENRY &HANK& P",6
"MOREAU, DAVID","BEAST/HENRY &HANK& P",6
"ROBERTS, TED","BEAST/HENRY &HANK& P",6
"VIBRAXAS/N'KANO","INVISIBLE WOMAN/SUE ",6
"DEVLOR","INVISIBLE WOMAN/SUE ",6
"BANSHEE/SEAN CASSIDY","INVISIBLE WOMAN/SUE ",6
"DEVLOR","THING/BENJAMIN J. GR",6
"DOMINO III/BEATRICE/","ANGEL/WARREN KENNETH",6
"WIPEOUT","ANGEL/WARREN KENNETH",6
"MOREAU, DAVID","ANGEL/WARREN KENNETH",6
"ROBERTS, TED","ANGEL/WARREN KENNETH",6
"SHAW, SHINOBI","MARVEL GIRL/JEAN GRE",6
"MIMIC/CALVIN RANKIN","MARVEL GIRL/JEAN GRE",6
"WORTHINGTON, KATHRYN","MARVEL GIRL/JEAN GRE",6
"MOREAU, DAVID","MARVEL GIRL/JEAN GRE",6
"ROBERTS, TED","MARVEL GIRL/JEAN GRE",6
"RICHARDS, NATHANIEL","SHE-HULK/JENNIFER WA",6
"WIPEOUT","WOLVERINE/LOGAN ",6
"BLUE DIAMOND/PROFESS","CAPTAIN AMERICA",6
"PATRIOT/JEFF MACE","CAPTAIN AMERICA",6
"RED RAVEN","CAPTAIN AMERICA",6
"THIN MAN/BRUCE DICKS","CAPTAIN AMERICA",6
"BLACK CAT/FELICIA HA","CAPTAIN AMERICA",6
"BULLSEYE II/BENJAMIN","CAPTAIN AMERICA",6
"MR. SINISTER/NATHAN ","QUICKSILVER/PIETRO M",6
"IRON MAN/TONY STARK ","LORD CHAOS",6
"BANSHEE/SEAN CASSIDY","SPIDER-MAN/PETER PAR",6
"SHIFFMAN, MAXIE","SPIDER-MAN/PETER PAR",6
"CAPUTO, DR. JULIA","SPIDER-MAN/PETER PAR",6
"GRIM HUNTER/KRAVINOF","SPIDER-MAN/PETER PAR",6
"MIMIC/CALVIN RANKIN","HULK/DR. ROBERT BRUC",6
"BLUE DIAMOND/PROFESS","SUB-MARINER/NAMOR MA",6
"THIN MAN/BRUCE DICKS","SUB-MARINER/NAMOR MA",6
"JACK FROST/","SUB-MARINER/NAMOR MA",6
"CLARK, JOHN","JONES, DANIEL DANNY",6
"CLARK, JOHN","JONES, LORRAINE LORR",6
"CLARK, JOHN","JONES, TAMMY ANNE",6
"IRON MAN/TONY STARK ","AVALANCHE/DOMINIC PE",6
"IRON MAN/TONY STARK ","PYRO/ALLERDYCE JOHNN",6
"MIMIC/CALVIN RANKIN","BLOB/FRED J. DUKES",6
"DAYTRIPPER/AMANDA SE","MYSTIQUE/RAVEN DARKH",6
"KILLBURN, MACK","ROM, SPACEKNIGHT",6
"HYBRID/JAMES JIMMY M","ROM, SPACEKNIGHT",6
"KILLBURN, MACK","STARSHINE II/BRANDY ",6
"STACY, ARTHUR","WARD, SEN. STEWART",5
"KAINE","DR. OCTOPUS/OTTO OCT",5
"MANSLAUGHTER","GARGOYLE II/ISAAC CH",5
"ELLIS, KEN","GRANT, GLORIA GLORY",5
"WARD, SEN. STEWART","GRANT, GLORIA GLORY",5
"LIGHTMASTER/EDWARD L","THOMPSON, EUGENE FLA",5
"TREVANE, DET. CONNOR","THOMPSON, EUGENE FLA",5
"STACY, ARTHUR","THOMPSON, EUGENE FLA",5
"IRON MAN/TONY STARK ","THOMPSON, EUGENE FLA",5
"WIPEOUT","ICEMAN/ROBERT BOBBY ",5
"MOREAU, DAVID","ICEMAN/ROBERT BOBBY ",5
"MANSLAUGHTER","ICEMAN/ROBERT BOBBY ",5
"WARD, SEN. STEWART","JAMESON, J. JONAH",5
"STACY, PAUL","JAMESON, J. JONAH",5
"LIZARD/DR. CURTIS CO","WATSON, ANNA",5
"BANNON, LANCE","WATSON, ANNA",5
"GREEN GOBLIN III/BAR","WATSON-PARKER, MARY ",5
"WARD, SEN. STEWART","WATSON-PARKER, MARY ",5
"VENOM/EDDIE BROCK","KINGPIN/WILSON FISK",5
"STACY, GWEN (CLONE)","LEEDS, BETTY BRANT",5
"TREVANE, DET. CONNOR","LEEDS, BETTY BRANT",5
"WARD, SEN. STEWART","STACY, ARTHUR",5
"FOREIGNER/RAFAEL BAS","PARKER, MAY",5
"SHIFFMAN, MAXIE","PARKER, MAY",5
"GREEN GOBLIN III/BAR","PARKER, MAY",5
"STACY, GWEN (CLONE)","PARKER, MAY",5
"IRON MAN/TONY STARK ","CORBEAU, DR. PETER",5
"WORTHINGTON, KATHRYN","PROFESSOR X/CHARLES ",5
"ROBERTS, TED","PROFESSOR X/CHARLES ",5
"IRON MAN/TONY STARK ","JUGGERNAUT/CAIN MARK",5
"PSI-LORD/FRANKLIN BE","KARNAK [INHUMAN]",5
"PSI-LORD/FRANKLIN BE","BLACK BOLT/BLACKANTO",5
"MEPHISTA","DR. STRANGE/STEPHEN ",5
"IRON MAN/TONY STARK ","CARPENTER, LARRY",5
"NOX","NIGHTMARE/EDVARD HAB",5
"WOLFE, SARA","NIGHTMARE/EDVARD HAB",5
"MIMIC/CALVIN RANKIN","CYCLOPS/SCOTT SUMMER",5
"VENOM/EDDIE BROCK","GHOST RIDER III/DAN ",5
"MANSLAUGHTER","BEAST/HENRY &HANK& P",5
"BLACK CAT/FELICIA HA","INVISIBLE WOMAN/SUE ",5
"MAELSTROM/MALCOLM ST","THING/BENJAMIN J. GR",5
"BLACK CAT/FELICIA HA","THING/BENJAMIN J. GR",5
"VENOM/EDDIE BROCK","THING/BENJAMIN J. GR",5
"MAJOR DOMO","JUBILEE/JUBILATION L",5
"IRON MAN/TONY STARK ","MASTER ORDER",5
"SHAW, SHINOBI","ANGEL/WARREN KENNETH",5
"CREED, GRAYDON","ANGEL/WARREN KENNETH",5
"WORTHINGTON, WARREN ","ANGEL/WARREN KENNETH",5
"MANSLAUGHTER","ANGEL/WARREN KENNETH",5
"MAELSTROM/MALCOLM ST","MR. FANTASTIC/REED R",5
"VENOM/EDDIE BROCK","MR. FANTASTIC/REED R",5
"NIGHTMARE/EDVARD HAB","ETERNITY/ADAM QADMON",5
"DAYTRIPPER/AMANDA SE","PSYLOCKE/ELISABETH B",5
"WIPEOUT","PSYLOCKE/ELISABETH B",5
"BLACK CAT/FELICIA HA","VISION ",5
"SPEEDBALL II/DARRION","SPIDER-MAN/PETER PAR",5
"IRON MAN/TONY STARK ","NIGHT THRASHER/DUANE",5
"BLACK CAT/FELICIA HA","NOVA/RICHARD RIDER",5
"CLARK, SARAH","JONES, DANIEL DANNY",5
"CLARK, JOHN","JONES, NELL",5
"CLARK, SARAH","JONES, LORRAINE LORR",5
"CLARK, SARAH","JONES, TAMMY ANNE",5
"IRON MAN/TONY STARK ","DESTINY II/IRENE ADL",5
"CREED, GRAYDON","ROGUE /",5
"DOMINO III/BEATRICE/","ROGUE /",5
"BANSHEE/SEAN CASSIDY","MYSTIQUE/RAVEN DARKH",5
"IRON MAN/TONY STARK ","MYSTIQUE/RAVEN DARKH",5
"KILLBURN, MACK","JACKSON, STEVE",5
"DOCTOR DREDD","ROM, SPACEKNIGHT",5
"DOCTOR DREDD","STARSHINE II/BRANDY ",5
"IRON MAN/TONY STARK ","COBRA/KLAUS VORHEES",4
"JACKAL/MILES WARREN","DR. OCTOPUS/OTTO OCT",4
"KUBIK","BEYONDER",4
"MANSLAUGHTER","MOONDRAGON/HEATHER D",4
"WORTHINGTON, KATHRYN","SOUTHERN, CANDY",4
"INTERLOPER","SOUTHERN, CANDY",4
"INTERLOPER","GARGOYLE II/ISAAC CH",4
"TOKKOTS","FAIRMONT, HANNAH",4
"IRON MAN/TONY STARK ","FAIRMONT, HANNAH",4
"LIGHTMASTER/EDWARD L","GRANT, GLORIA GLORY",4
"VENOM/EDDIE BROCK","GRANT, GLORIA GLORY",4
"OVERRIDE/DR. GREGORY","MAXWELL, MORRIS",4
"KINGSLEY, DANIEL","THOMPSON, EUGENE FLA",4
"FOREIGNER/RAFAEL BAS","THOMPSON, EUGENE FLA",4
"SHIFFMAN, MAXIE","THOMPSON, EUGENE FLA",4
"GREEN GOBLIN III/BAR","THOMPSON, EUGENE FLA",4
"SHAW, SHINOBI","ICEMAN/ROBERT BOBBY ",4
"DOMINO III/BEATRICE/","ICEMAN/ROBERT BOBBY ",4
"INTERLOPER","ICEMAN/ROBERT BOBBY ",4
"MAXWELL, MORRIS","OVERRIDE/DR. GREGORY",4
"LIZARD/DR. CURTIS CO","URICH, BEN",4
"IRON MAN/TONY STARK ","URICH, BEN",4
"CREED, GRAYDON","JAMESON, J. JONAH",4
"KINGSLEY, DANIEL","JAMESON, J. JONAH",4
"MAXWELL, MORRIS","JAMESON, J. JONAH",4
"OVERRIDE/DR. GREGORY","JAMESON, J. JONAH",4
"GREEN GOBLIN III/BAR","WATSON, ANNA",4
"BLACK CAT/FELICIA HA","WATSON, ANNA",4
"STACY, GWEN (CLONE)","WATSON, ANNA",4
"TREVANE, DET. CONNOR","WATSON, ANNA",4
"RAVEN, LT. JACOB","WATSON, ANNA",4
"SLOAN, DR.","WATSON-PARKER, MARY ",4
"SPEEDBALL II/DARRION","WATSON-PARKER, MARY ",4
"LOCKER, MR.","WATSON-PARKER, MARY ",4
"CAPUTO, DR. JULIA","WATSON-PARKER, MARY ",4
"GRIM HUNTER/KRAVINOF","WATSON-PARKER, MARY ",4
"MAXWELL, MORRIS","WATSON-PARKER, MARY ",4
"LIZARD/DR. CURTIS CO","KINGPIN/WILSON FISK",4
"MUGGINS, MAMIE","KINGPIN/WILSON FISK",4
"KAINE","LEEDS, BETTY BRANT",4
"WARD, SEN. STEWART","LEEDS, BETTY BRANT",4
"CHANG, IMEI","MORBIUS/DR. MICHAEL ",4
"WOLFE, SARA","MORBIUS/DR. MICHAEL ",4
"STACY, ARTHUR","FORTUNATO, GIACOMO J",4
"STACY, PAUL","FORTUNATO, GIACOMO J",4
"TRAVELLER, DR. JUDAS","ROBERTSON, JOE",4
"WARD, SEN. STEWART","ROBERTSON, JOE",4
"STACY, PAUL","ROBERTSON, JOE",4
"SPIDER-MAN CLONE/BEN","STACY, ARTHUR",4
"FORTUNATO, GIACOMO J","STACY, ARTHUR",4
"TRAVELLER, DR. JUDAS","PARKER, MAY",4
"TOMBSTONE/LONNIE THO","PARKER, MAY",4
"FORTUNATO, GIACOMO J","STACY, PAUL",4
"MAJOR DOMO","PROFESSOR X/CHARLES ",4
"MOJO","PROFESSOR X/CHARLES ",4
"CREED, GRAYDON","JUGGERNAUT/CAIN MARK",4
"ARMBRUSTER, COLONEL ","WILSON, JIM",4
"SHA SHAN","MAN-BEAST",4
"RICHARDS, NATHANIEL","TRITON",4
"RICHARDS, NATHANIEL","LOCKJAW [INHUMAN]",4
"COBALT MAN","ROBERTS, TED",4
"ROBERTS, TED","COBALT MAN",4
"MAELSTROM/MALCOLM ST","DR. STRANGE/STEPHEN ",4
"DAYTRIPPER/AMANDA SE","DR. STRANGE/STEPHEN ",4
"IRON MAN/TONY STARK ","CLEMSON, MIKE",4
"SPITFIRE/LADY JACQUE","THOR/DR. DONALD BLAK",4
"FEAR EATER/KKALLAKKU","NIGHTMARE/EDVARD HAB",4
"GUDRUN [ASGARDIAN]","LOKI [ASGARDIAN]",4
"GUDRUN [ASGARDIAN]","ENCHANTRESS/AMORA/HE",4
"FREDERICKS, GENERAL","CYCLOPS/SCOTT SUMMER",4
"GATEWAY","BEAST/HENRY &HANK& P",4
"INTERLOPER","BEAST/HENRY &HANK& P",4
"CLOUD","ANDROMEDA/ANDROMEDA ",4
"IRON MAN/TONY STARK ","ANDROMEDA/ANDROMEDA ",4
"ALRAUNE, MARLENE","PUNISHER II/FRANK CA",4
"MOREAU, DAVID","JUBILEE/JUBILATION L",4
"DAYTRIPPER/AMANDA SE","ANGEL/WARREN KENNETH",4
"FREDERICKS, GENERAL","ANGEL/WARREN KENNETH",4
"PSI-LORD/FRANKLIN BE","MR. FANTASTIC/REED R",4
"BLACK CAT/FELICIA HA","MR. FANTASTIC/REED R",4
"SHAW, SHINOBI","STORM/ORORO MUNROE S",4
"GATEWAY","MARVEL GIRL/JEAN GRE",4
"DOMINO III/BEATRICE/","PSYLOCKE/ELISABETH B",4
"MAELSTROM/MALCOLM ST","VISION ",4
"BLACK CAT/FELICIA HA","WOLVERINE/LOGAN ",4
"NIGHTMARE/EDVARD HAB","WOLVERINE/LOGAN ",4
"CHURCHILL, SIR WINST","CAPTAIN AMERICA",4
"BANSHEE/SEAN CASSIDY","CAPTAIN AMERICA",4
"RICHARDS, NATHANIEL","UATU",4
"MAELSTROM/MALCOLM ST","SCARLET WITCH/WANDA ",4
"SPIDER-MAN CLONE/BEN","HAWK",4
"TRICKSHOT","MOCKINGBIRD/DR. BARB",4
"MAELSTROM/MALCOLM ST","WASP/JANET VAN DYNE ",4
"BLACK CAT/FELICIA HA","WASP/JANET VAN DYNE ",4
"HITMAN/LT. BURT KENY","SPIDER-MAN/PETER PAR",4
"MORGAN","SPIDER-MAN/PETER PAR",4
"MAYHEM/DET. BRIGID O","SPIDER-MAN/PETER PAR",4
"D'SPAYRE","SPIDER-MAN/PETER PAR",4
"LOCKER, MR.","SPIDER-MAN/PETER PAR",4
"JACK","SPIDER-MAN/PETER PAR",4
"BLACK CAT/FELICIA HA","HULK/DR. ROBERT BRUC",4
"COBALT MAN","HULK/DR. ROBERT BRUC",4
"NIGHTMARE/EDVARD HAB","HULK/DR. ROBERT BRUC",4
"BLACK CAT/FELICIA HA","SPEEDBALL/ROBBIE BAL",4
"DEVLOR","SUB-MARINER/NAMOR MA",4
"CHURCHILL, SIR WINST","SUB-MARINER/NAMOR MA",4
"CLARK, SARAH","JONES, NELL",4
"DAYTRIPPER/AMANDA SE","DESTINY II/IRENE ADL",4
"DAYTRIPPER/AMANDA SE","AVALANCHE/DOMINIC PE",4
"DAYTRIPPER/AMANDA SE","PYRO/ALLERDYCE JOHNN",4
"IRON MAN/TONY STARK ","TORPEDO III/BROCK JO",4
"DAYTRIPPER/AMANDA SE","BLOB/FRED J. DUKES",4
"BANSHEE/SEAN CASSIDY","BLOB/FRED J. DUKES",4
"BRICKMAN, SEN. MILES","MYSTIQUE/RAVEN DARKH",4
"HYBRID/JAMES JIMMY M","STARSHINE II/BRANDY ",4
"IRON MAN/TONY STARK ","ANACONDA/BLANCHE SIT",3
"MANOLIS, LT. NICK","BULLSEYE II/BENJAMIN",3
"VENOM/EDDIE BROCK","WARD, SEN. STEWART",3
"BANNON, LANCE","DR. OCTOPUS/OTTO OCT",3
"SLOAN, DR.","DR. OCTOPUS/OTTO OCT",3
"STACY, CAPT. GEORGE","DR. OCTOPUS/OTTO OCT",3
"WARD, SEN. STEWART","DR. OCTOPUS/OTTO OCT",3
"STACY, ARTHUR","DR. OCTOPUS/OTTO OCT",3
"STACY, PAUL","DR. OCTOPUS/OTTO OCT",3
"LIZARD/DR. CURTIS CO","BEYONDER",3
"IRON MAN/TONY STARK ","BEYONDER",3
"MAELSTROM/MALCOLM ST","HUMAN TORCH/JOHNNY S",3
"SPITFIRE/LADY JACQUE","HUMAN TORCH/JOHNNY S",3
"JACKAL/MILES WARREN","HUMAN TORCH/JOHNNY S",3
"SPIDER-MAN CLONE/BEN","HUMAN TORCH/JOHNNY S",3
"ZELDA","SOUTHERN, CANDY",3
"MANSLAUGHTER","SOUTHERN, CANDY",3
"CLOUD","MANSLAUGHTER",3
"MANSLAUGHTER","CLOUD",3
"GREEN GOBLIN III/BAR","GRANT, GLORIA GLORY",3
"TREVANE, DET. CONNOR","GRANT, GLORIA GLORY",3
"STACY, PAUL","GRANT, GLORIA GLORY",3
"DOLMAN","MAXWELL, MORRIS",3
"RAVEN, LT. JACOB","THOMPSON, EUGENE FLA",3
"KAINE","THOMPSON, EUGENE FLA",3
"OVERRIDE/DR. GREGORY","THOMPSON, EUGENE FLA",3
"FREDERICKS, GENERAL","ICEMAN/ROBERT BOBBY ",3
"WORTHINGTON, WARREN ","ICEMAN/ROBERT BOBBY ",3
"BLACK CAT/FELICIA HA","ICEMAN/ROBERT BOBBY ",3
"MALICE IV","ICEMAN/ROBERT BOBBY ",3
"DOLMAN","OVERRIDE/DR. GREGORY",3
"OVERRIDE/DR. GREGORY","KWAN, TERRY",3
"MANOLIS, LT. NICK","URICH, BEN",3
"TRAINER, DR. SEWARD","URICH, BEN",3
"JACKAL/MILES WARREN","URICH, BEN",3
"TREVANE, DET. CONNOR","URICH, BEN",3
"KAINE","URICH, BEN",3
"FORTUNATO, GIACOMO J","URICH, BEN",3
"STACY, PAUL","URICH, BEN",3
"MAXWELL, MORRIS","DOLMAN",3
"OVERRIDE/DR. GREGORY","DOLMAN",3
"HOCHBERG, ROGER","JAMESON, J. JONAH",3
"SLOAN, DR.","JAMESON, J. JONAH",3
"VULTURE II/BLACKIE D","JAMESON, J. JONAH",3
"TRAVELLER, DR. JUDAS","JAMESON, J. JONAH",3
"DOLMAN","JAMESON, J. JONAH",3
"OVERRIDE/DR. GREGORY","CALDRONE, JAVIER",3
"BRICKMAN, SEN. MILES","MACHINE MAN/X-51",3
"MUGGINS, MAMIE","WATSON, ANNA",3
"BYRNES, GAYLE WATSON","WATSON, ANNA",3
"OVERRIDE/DR. GREGORY","WATSON, ANNA",3
"FORTUNATO, GIACOMO J","WATSON, ANNA",3
"VENOM/EDDIE BROCK","WATSON, ANNA",3
"FROG-MAN II/EUGENE P","WATSON-PARKER, MARY ",3
"JACK","WATSON-PARKER, MARY ",3
"MAYHEM/DET. BRIGID O","KINGPIN/WILSON FISK",3
"SLOAN, DR.","KINGPIN/WILSON FISK",3
"STACY, ARTHUR","KINGPIN/WILSON FISK",3
"TRAINER, DR. SEWARD","LEEDS, BETTY BRANT",3
"RAVEN, LT. JACOB","LEEDS, BETTY BRANT",3
"OVERRIDE/DR. GREGORY","LEEDS, BETTY BRANT",3
"LIZARD/DR. CURTIS CO","MORBIUS/DR. MICHAEL ",3
"BLADE","MORBIUS/DR. MICHAEL ",3
"LIGHTMASTER/EDWARD L","ROBERTSON, JOE",3
"KINGSLEY, DANIEL","ROBERTSON, JOE",3
"SLOAN, DR.","ROBERTSON, JOE",3
"MANOLIS, LT. NICK","ROBERTSON, JOE",3
"OVERRIDE/DR. GREGORY","ROBERTSON, JOE",3
"LIZARD/DR. CURTIS CO","STACY, ARTHUR",3
"TREVANE, DET. CONNOR","STACY, ARTHUR",3
"SLOAN, DR.","PARKER, MAY",3
"JACK","PARKER, MAY",3
"BYRNES, GAYLE WATSON","PARKER, MAY",3
"ELLIS, KEN","PARKER, MAY",3
"RAVEN, LT. JACOB","PARKER, MAY",3
"STACY, PAUL","PARKER, MAY",3
"ELLIS, KEN","VENOM/EDDIE BROCK",3
"WARD, SEN. STEWART","VENOM/EDDIE BROCK",3
"SHAW, SHINOBI","PROFESSOR X/CHARLES ",3
"PENANCE/MONET ST. CR","PROFESSOR X/CHARLES ",3
"FREDERICKS, GENERAL","PROFESSOR X/CHARLES ",3
"WORTHINGTON, WARREN ","PROFESSOR X/CHARLES ",3
"STACY, GWEN","RHINO",3
"VIBRAXAS/N'KANO","KARNAK [INHUMAN]",3
"DEVLOR","KARNAK [INHUMAN]",3
"VIBRAXAS/N'KANO","BLACK BOLT/BLACKANTO",3
"DEVLOR","BLACK BOLT/BLACKANTO",3
"SPIDER-MAN CLONE/BEN","CRYSTAL [INHUMAN]",3
"VIBRAXAS/N'KANO","GORGON [INHUMAN]",3
"DEVLOR","GORGON [INHUMAN]",3
"MIMIC/CALVIN RANKIN","ROBERTS, TED",3
"MISSING LINK","ROSS, GEN. THADDEUS ",3
"MISSING LINK","BANNER, BETTY ROSS T",3
"LIZARD/DR. CURTIS CO","DR. STRANGE/STEPHEN ",3
"BLACK CAT/FELICIA HA","DR. STRANGE/STEPHEN ",3
"STACY, ARTHUR","DR. STRANGE/STEPHEN ",3
"MAELSTROM/MALCOLM ST","RED GUARDIAN III/DR.",3
"EON","RED GUARDIAN III/DR.",3
"DAYTRIPPER/AMANDA SE","COOPER, DR. VALERIE",3
"OGRE","COOPER, DR. VALERIE",3
"VIBRAXAS/N'KANO","THOR/DR. DONALD BLAK",3
"DEVLOR","THOR/DR. DONALD BLAK",3
"VALKIN","THOR/DR. DONALD BLAK",3
"SPIDER-MAN CLONE/BEN","THOR/DR. DONALD BLAK",3
"LURKING UNKNOWN","NIGHTMARE/EDVARD HAB",3
"GUDRUN [ASGARDIAN]","HEIMDALL [ASGARDIAN]",3
"OGRE","CARTER, SHARON",3
"NIGHTMARE/EDVARD HAB","CARTER, SHARON",3
"SHAW, SHINOBI","CYCLOPS/SCOTT SUMMER",3
"WORTHINGTON, WARREN ","CYCLOPS/SCOTT SUMMER",3
"BLACK CAT/FELICIA HA","CYCLOPS/SCOTT SUMMER",3
"MALICE IV","CYCLOPS/SCOTT SUMMER",3
"MAELSTROM/MALCOLM ST","GHOST RIDER III/DAN ",3
"SHAW, SHINOBI","BEAST/HENRY &HANK& P",3
"FREDERICKS, GENERAL","BEAST/HENRY &HANK& P",3
"WORTHINGTON, WARREN ","BEAST/HENRY &HANK& P",3
"BLACK CAT/FELICIA HA","BEAST/HENRY &HANK& P",3
"MALICE IV","BEAST/HENRY &HANK& P",3
"JACKAL/MILES WARREN","PUNISHER II/FRANK CA",3
"SPIDER-MAN CLONE/BEN","PUNISHER II/FRANK CA",3
"SHAW, SHINOBI","JUBILEE/JUBILATION L",3
"DAYTRIPPER/AMANDA SE","JUBILEE/JUBILATION L",3
"WIPEOUT","JUBILEE/JUBILATION L",3
"MALICE IV","ANGEL/WARREN KENNETH",3
"INTERLOPER","ANGEL/WARREN KENNETH",3
"EON","MR. FANTASTIC/REED R",3
"VIBRAXAS/N'KANO","STORM/ORORO MUNROE S",3
"BLACK CAT/FELICIA HA","STORM/ORORO MUNROE S",3
"HAWKSHAW","STORM/ORORO MUNROE S",3
"FREDERICKS, GENERAL","MARVEL GIRL/JEAN GRE",3
"WORTHINGTON, WARREN ","MARVEL GIRL/JEAN GRE",3
"BLACK CAT/FELICIA HA","MARVEL GIRL/JEAN GRE",3
"MALICE IV","MARVEL GIRL/JEAN GRE",3
"BLACK CAT/FELICIA HA","PSYLOCKE/ELISABETH B",3
"SPIDER-MAN CLONE/BEN","VISION ",3
"BLACK CAT/FELICIA HA","SHE-HULK/JENNIFER WA",3
"VENOM/EDDIE BROCK","SHE-HULK/JENNIFER WA",3
"DOMINO III/BEATRICE/","WOLVERINE/LOGAN ",3
"VENOM/EDDIE BROCK","WOLVERINE/LOGAN ",3
"A","WOLVERINE/LOGAN ",3
"BLACK CAT/FELICIA HA","WONDER MAN/SIMON WIL",3
"BLACK CAT/FELICIA HA","THUNDERSTRIKE/ERIC K",3
"KRIEGHUND, COL.","CAPTAIN AMERICA",3
"SPIDER-MAN CLONE/BEN","CAPTAIN AMERICA",3
"NIGHTMARE/EDVARD HAB","CAPTAIN AMERICA",3
"CREED, GRAYDON","QUICKSILVER/PIETRO M",3
"DOMINO III/BEATRICE/","QUICKSILVER/PIETRO M",3
"BLACK CAT/FELICIA HA","SCARLET WITCH/WANDA ",3
"BLACK CAT/FELICIA HA","HAWK",3
"AGAMOTTO","SILVER SURFER/NORRIN",3
"EL TIGRE","MOCKINGBIRD/DR. BARB",3
"SPIDER-MAN CLONE/BEN","WASP/JANET VAN DYNE ",3
