,Site.ID,Stratum,Latitude,Longitude,Index,Salinity,Silt
448,90/91-1,125,39.2248,-76.5065,1,3.1,52.2
449,90/91-2,125,39.2168,-76.5028,1,7.5,90.3
450,90/91-2,125,39.2062,-76.5038,1,7.9,84.4
451,90/91-2,125,39.2228,-76.5033,1.5,3.7,85.4
452,91/92-1,125,39.2163,-76.503,1,5.8,95.8
453,91/92-1,125,39.2113,-76.5027,3,4.6,94
454,91/92-1,125,39.2133,-76.5065,1,4.8,92.4
455,91/92-2,125,39.2283,-76.4945,1,2.2,76.6
456,91/92-2,125,39.214,-76.507,1,4.6,89.3
457,91/92-2,125,39.229,-76.5028,1,2.8,85.9
458,92/93-1,125,39.2153,-76.4982,1,7,93.4
459,92/93-1,125,39.2258,-76.5052,4,2.2,80
460,92/93-1,125,39.216,-76.5042,2,3.5,84.7
461,89/90-1,126,39.2238,-76.5688,1,8.1,95
462,89/90-1,126,39.211,-76.5787,4,4.2,63.2
463,89/90-1,126,39.2103,-76.583,1,8,93.8
464,89/90-2,126,39.2122,-76.581,1,8,73.9
465,89/90-2,126,39.2192,-76.5718,1,3,51.8
466,89/90-2,126,39.2213,-76.5638,1,5.5,92.7
467,90/91-1,126,39.2172,-76.5663,1,4.4,85.3
468,90/91-1,126,39.22,-76.576,1,15,87.3
469,90/91-1,126,39.2117,-76.5792,1,10.2,78.5
470,90/91-2,126,39.2093,-76.5732,1,5.8,86
471,90/91-2,126,39.2183,-76.5733,1,5.3,97.3
472,90/91-2,126,39.2182,-76.5598,1,5.6,83.9
473,91/92-1,126,39.2195,-76.5645,1,5.5,91.8
474,91/92-1,126,39.2028,-76.5788,1,5.7,92.6
475,91/92-1,126,39.218,-76.5698,1.5,3.7,88
476,91/92-2,126,39.223,-76.5695,1.5,5.5,77.8
477,91/92-2,126,39.2125,-76.574,2,2.8,73.2
478,91/92-2,126,39.2183,-76.5783,1,6.7,90.3
479,92/93-1,126,39.2227,-76.5657,1,9.7,97.5
480,92/93-1,126,39.2242,-76.5693,3,5.7,89
481,92/93-1,126,39.2257,-76.5683,1,7.1,88
482,89/90-1,127,39.2543,-76.5905,3,3.9,80.9
483,89/90-1,127,39.2592,-76.5837,1.5,5.1,87.4
484,89/90-1,127,39.2607,-76.5907,4.5,4,90.6
485,89/90-2,127,39.258,-76.5878,1,6,94
486,89/90-2,127,39.2548,-76.611,3,3.5,70
487,90/91-1,127,39.2565,-76.5925,1,12.8,95.6
488,90/91-1,127,39.2607,-76.6208,1,3.5,92.2
489,90/91-1,127,39.2575,-76.6157,1,4.4,84.3
490,90/91-2,127,39.2525,-76.5862,1.5,3.7,89.9
491,90/91-2,127,39.2527,-76.5892,1.5,3.6,76.9
492,90/91-2,127,39.2563,-76.62,1,3.7,92.1
493,91/92-1,127,39.2553,-76.6,2.5,4.2,90.9
494,91/92-1,127,39.2555,-76.6142,2.5,2.4,85.5
495,91/92-1,127,39.2647,-76.6023,1,7.7,87.2
496,91/92-2,127,39.2583,-76.621,1,2.4,77
497,91/92-2,127,39.2573,-76.5833,1,6,95.7
498,91/92-2,127,39.263,-76.602,1,8.8,89.9
499,92/93-1,127,39.2617,-76.605,1,9.3,95
500,92/93-1,127,39.2632,-76.6268,2,3.3,84.6
501,92/93-1,127,39.2635,-76.6257,2,2.4,91.9
502,89/90-1,128,38.4167,-76.5585,2.67,2.3,3
503,89/90-1,128,38.4037,-76.5317,3.67,2.4,4.4
504,89/90-1,128,38.401,-76.5518,4.33,2.7,4.9
505,89/90-2,128,38.3878,-76.5125,2.67,1.9,1.2
506,89/90-2,128,38.3985,-76.5157,3.67,2.1,8.7
507,89/90-2,128,38.419,-76.5672,4.33,2.2,12.8
508,90/91-1,128,38.4012,-76.5498,4.33,2.4,27.1
509,90/91-1,128,38.419,-76.5692,3.67,1.6,4.5
510,90/91-1,128,38.4173,-76.5582,4,2.7,59.5
511,90/91-2,128,38.4047,-76.5237,4,3.1,4
512,90/91-2,128,38.4043,-76.5463,2,2.6,7.9
513,90/91-2,128,38.4038,-76.5498,2.33,2.5,4.8
514,91/92-1,128,38.4073,-76.5267,2,2.8,2.8
515,91/92-1,128,38.4093,-76.534,2.67,2.5,3.7
516,91/92-1,128,38.4177,-76.5562,1,2.1,2.1
517,91/92-2,128,38.4167,-76.5595,2.67,2.9,7
518,91/92-2,128,38.4032,-76.5182,3,2.6,4.2
519,91/92-2,128,38.4013,-76.5375,2.33,2.6,2.4
520,92/93-1,128,38.4075,-76.5452,2.33,2.4,71.9
521,92/93-1,128,38.4052,-76.5292,3.67,2,2.8
522,92/93-1,128,38.4302,-76.5903,3.67,1.5,6.2
523,89/90-1,129,38.3863,-76.5318,1.8,15.3,89.7
524,89/90-1,129,38.4203,-76.5937,3.8,4.4,92.3
525,89/90-1,129,38.4182,-76.5968,1.8,7,94.4
526,89/90-2,129,38.4137,-76.5868,1.4,12.2,95.3
527,89/90-2,129,38.4095,-76.5863,3.4,5.9,92.1
528,89/90-2,129,38.4178,-76.5912,1,9.2,94.5
529,90/91-1,129,38.4098,-76.5948,3,4.6,89.7
530,90/91-1,129,38.4035,-76.5835,3,4.9,90
531,90/91-1,129,38.4078,-76.5845,3,5.9,92.7
532,90/91-2,129,38.3848,-76.5272,2.2,11.5,93.1
533,90/91-2,129,38.3963,-76.5518,1.4,11.1,85.5
534,90/91-2,129,38.411,-76.579,1,7.8,84.9
535,91/92-1,129,38.399,-76.5292,2.6,5.6,91.6
536,91/92-1,129,38.407,-76.5882,4.2,5.6,85.6
537,91/92-1,129,38.3908,-76.5265,3.4,8.1,85.4
538,91/92-2,129,38.4115,-76.5778,1.4,9.1,96.1
539,91/92-2,129,38.396,-76.5568,2.2,15.5,83.3
540,91/92-2,129,38.384,-76.5173,4.2,9.8,77.9
541,92/93-1,129,38.3892,-76.5218,4.33,9.3,90.6
542,92/93-1,129,38.3973,-76.5375,4.33,7.8,81.1
543,92/93-1,129,38.431,-76.5833,5,7.6,84.8
544,89/90-1,130,38.6115,-76.6748,3.5,5,86.2
545,89/90-1,130,38.5167,-76.6697,4,3.6,96.8
546,89/90-1,130,38.5767,-76.684,4,2,95.6
547,89/90-2,130,38.57,-76.6815,4,4.2,95
548,89/90-2,130,38.515,-76.6707,4.5,5.1,94.9
549,89/90-2,130,38.5295,-76.6725,4.5,3.3,92.2
550,90/91-1,130,38.5338,-76.6747,4,3.7,95.3
551,90/91-1,130,38.573,-76.6833,2,2.2,88.6
552,90/91-1,130,38.5248,-76.6643,4.5,2.7,96.5
553,90/91-2,130,38.5717,-76.6778,4.5,2.1,91.5
554,90/91-2,130,38.532,-76.6712,4.5,4.2,87.3
555,90/91-2,130,38.5558,-76.673,4,3.7,94
556,91/92-1,130,38.5928,-76.6717,3.5,1.7,64.5
557,91/92-1,130,38.5565,-76.6767,4,3.3,92.7
558,91/92-1,130,38.5953,-76.6748,4.5,2.6,86.3
559,91/92-2,130,38.5702,-76.6788,4.5,4.3,89.5
560,91/92-2,130,38.6068,-76.6723,4.5,4.1,39.7
561,91/92-2,130,38.5923,-76.6717,4.5,3.6,82.2
562,92/93-1,130,38.5535,-76.6712,3,2.9,82.8
563,92/93-1,130,38.5325,-76.6737,4,3.7,93.6
564,92/93-1,130,38.5295,-76.6718,4,3.9,93.5
565,89/90-1,131,38.7445,-76.6873,3,3.7,88
566,89/90-1,131,38.7365,-76.6962,3,9.3,86.6
567,89/90-1,131,38.7802,-76.7172,5,3,24
568,89/90-2,131,38.7727,-76.7098,5,2.1,54.7
569,89/90-2,131,38.7578,-76.7022,5,2.7,56.5
570,89/90-2,131,38.7705,-76.7055,5,1.4,34
571,90/91-1,131,38.7682,-76.7027,5,2.4,14.6
572,90/91-1,131,38.7533,-76.7018,5,4.5,29.1
573,90/91-1,131,38.7568,-76.702,5,3,56.3
574,90/91-2,131,38.7775,-76.7145,5,3.8,49.9
575,90/91-2,131,38.7668,-76.7008,5,3.1,41.9
576,90/91-2,131,38.768,-76.7017,4,1.8,32.2
577,91/92-1,131,38.7588,-76.7,5,3,12.8
578,91/92-1,131,38.7532,-76.6985,5,4.4,80.6
579,91/92-1,131,38.7798,-76.715,5,2.8,47.7
580,91/92-2,131,38.7683,-76.7018,5,3.1,14.5
581,91/92-2,131,38.776,-76.7142,5,2.8,77.3
582,91/92-2,131,38.7535,-76.7,5,3,24.8
583,92/93-1,131,38.764,-76.701,5,2.6,87.5
584,92/93-1,131,38.7583,-76.6997,5,3.5,54.2
585,92/93-1,131,38.7543,-76.7,4,3.9,44.5
